,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a RMSE Action,b RMSE Action,RMSE_Action,R2_RMSE_Action,a 1-corr Action,b 1-corr Action,One_minus_corr_Action,R2_1-corr_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External,a RMSE External,b RMSE External,RMSE_External,R2_RMSE_External,a 1-corr External,b 1-corr External,One_minus_corr_External,R2_1-corr_External
221,3,-3.3333333333333335,3.333333333333333e-05,0.0020482563258943176,0.35914824455864636,0.00221849292677336,0.48642932622827556,4.0,375.0,0.912131516800797,0.4864293262282754,4.0,375.0,0.3025551446685728,0.4864293262282754,0.0020482563258943176,0.35082938288750776,0.0004765707875416413,0.6814737297229914,4.0,375.0,0.6787720039522799,0.6814737297229918,4.0,375.0,0.1744857786064543,0.6814737297229918
222,3,-3.3333333333333335,6.666666666666666e-05,0.0021543189525351364,0.35874421394102446,0.002210352195563206,0.4883138671977759,4.0,375.0,0.9104371435430765,0.4883138671977761,4.0,375.0,0.30120541845419535,0.4883138671977761,0.0021543189525351364,0.3505380211289751,0.0004708574611527745,0.6852923535083121,4.0,375.0,0.6764772533464707,0.6852923535083123,4.0,375.0,0.1721761337649702,0.6852923535083123
223,3,-3.3333333333333335,9.999999999999999e-05,0.002256961955469824,0.3583519441049266,0.0022015014858008807,0.4903627648615571,4.0,375.0,0.9085951300922752,0.49036276486155755,4.0,375.0,0.2997409301825805,0.49036276486155755,0.002256961955469824,0.35025768867778967,0.0004653606894624951,0.688966238333416,4.0,375.0,0.6742681671521639,0.6889662383334157,4.0,375.0,0.16996009834863013,0.6889662383334157
224,3,-3.3333333333333335,0.0001333333333333333,0.0023567205138982843,0.3579694803244627,0.0021921757871158744,0.4925216202260591,4.0,375.0,0.9066543846818967,0.4925216202260593,4.0,375.0,0.2982011540148707,0.4925216202260593,0.0023567205138982843,0.3499865340326764,0.00046007645927758424,0.6924980665016279,4.0,375.0,0.6721432266259533,0.692498066501628,4.0,375.0,0.16783531287272946,0.692498066501628
225,3,-3.3333333333333335,0.00016666666666666663,0.0024539886383374582,0.35759538999054735,0.002182513215565036,0.49475846007398105,4.0,375.0,0.9046436379337128,0.49475846007398167,4.0,375.0,0.29660931192261175,0.49475846007398167,0.0024539886383374582,0.3497232201866601,0.00045499026599738314,0.6958975324727077,4.0,375.0,0.6700966937352134,0.6958975324727071,4.0,375.0,0.165795269449575,0.6958975324727071
226,3,-3.3333333333333335,0.00019999999999999998,0.0025490682252819305,0.3572285843223957,0.002172599934473808,0.4970533380008834,4.0,375.0,0.9025807983334891,0.49705333800088436,4.0,375.0,0.2949799024134955,0.49705333800088436,0.0025490682252819305,0.3494667407083963,0.00045008461919414497,0.6991763263477435,4.0,375.0,0.6681216199890107,0.6991763263477437,4.0,375.0,0.16383235750972536,0.6991763263477437
227,3,-3.3333333333333335,0.0002333333333333333,0.002642197725359945,0.356868280586033,0.002162492839589948,0.49939308291704204,4.0,375.0,0.9004776769938269,0.4993930829170414,4.0,375.0,0.2933225043083365,0.4993930829170414,0.002642197725359945,0.3492163846983834,0.00044534218796658684,0.7023460316312311,4.0,375.0,0.6662111092725405,0.7023460316312304,4.0,375.0,0.1619391241495458,0.7023460316312304
228,3,-3.3333333333333335,0.0002666666666666666,0.0027335696862683806,0.3565136521336989,0.002152231609349474,0.5017685094318424,4.0,375.0,0.8983424975909479,0.5017685094318417,4.0,375.0,0.2916437976329692,0.5017685094318417,0.0027335696862683806,0.34897136966500275,0.0004407470413784449,0.705417296040237,4.0,375.0,0.6643588174527358,0.7054172960402367,4.0,375.0,0.1601087593978392,0.7054172960402367
229,3,-3.3333333333333335,0.0003,0.0028233432838031267,0.35616422440382045,0.0021418453804379787,0.5041728725511166,4.0,375.0,0.8961812868478867,0.5041728725511166,4.0,375.0,0.28994868315655054,0.5041728725511166,0.0028233432838031267,0.34873127826341593,0.00043628504132616007,0.7083995691211876,4.0,375.0,0.6625591118060975,0.7083995691211868,4.0,375.0,0.15833523946812011,0.7083995691211868
230,3,-3.0,0.0,0.0025363173400937034,0.35718642153876506,0.0021286258675084777,0.5072331275905406,4.0,375.0,0.8934304245659305,0.5072331275905408,4.0,375.0,0.287796989903482,0.5072331275905408,0.0025363173400937034,0.34956345175976006,0.00044987617631071,0.699315643603788,4.0,375.0,0.6680376718334617,0.6993156436037883,4.0,375.0,0.16374905464699874,0.6993156436037883
231,3,-3.0,3.333333333333333e-05,0.0026196692315629895,0.35686274809395685,0.0021187728591983077,0.5095140526522993,4.0,375.0,0.891379994245314,0.5095140526522998,4.0,375.0,0.28619746942708324,0.5095140526522998,0.0026196692315629895,0.34933934643446757,0.0004450988078577749,0.7025086999022608,4.0,375.0,0.6661130312466693,0.7025086999022606,4.0,375.0,0.1618420793774834,0.7025086999022606
232,3,-3.0,6.666666666666666e-05,0.0027010519666019056,0.3565460366724896,0.0021087187110336043,0.511841540650882,4.0,375.0,0.8892875750130873,0.5118415406508812,4.0,375.0,0.28456898260497465,0.5118415406508812,0.0027010519666019056,0.34912138915150326,0.00044044211340321746,0.7056211011750874,4.0,375.0,0.6642358620352876,0.7056211011750876,4.0,375.0,0.15998743987063646,0.7056211011750876
233,3,-3.0,9.999999999999999e-05,0.0027806888424755302,0.3562353588758115,0.0020985553802863903,0.5141943038939502,4.0,375.0,0.8871722643551765,0.5141943038939495,4.0,375.0,0.2829265700822897,0.5141943038939495,0.0027806888424755302,0.3489087036807287,0.0004359112877600396,0.7086493753100678,4.0,375.0,0.6624083122581123,0.7086493753100669,4.0,375.0,0.15818685249631148,0.7086493753100669
234,3,-3.0,0.0001333333333333333,0.0028587587540716422,0.3559301578238644,0.002088343630547146,0.5165582759067726,4.0,375.0,0.8850466702623062,0.5165582759067718,4.0,375.0,0.28128011304349454,0.5165582759067718,0.0028587587540716422,0.3487007847375965,0.00043150632409173664,0.7115935269074652,4.0,375.0,0.6606304381949946,0.7115935269074655,4.0,375.0,0.15643996840327634,0.7115935269074655
235,3,-3.0,0.00016666666666666663,0.002935407704443864,0.3556299210609308,0.0020781240168356507,0.5189240683933738,4.0,375.0,0.8829191974832401,0.5189240683933746,4.0,375.0,0.27963615554820176,0.5189240683933746,0.002935407704443864,0.3484971640666292,0.00042722428180515167,0.7144555213752316,4.0,375.0,0.6589011137987466,0.7144555213752314,4.0,375.0,0.15474529201238318,0.7144555213752314
236,3,-3.0,0.00019999999999999998,0.0030107570597352165,0.3553342091411134,0.002067923754452614,0.5212853811384528,4.0,375.0,0.8807954769251991,0.5212853811384528,4.0,375.0,0.2779990435335611,0.5212853811384528,0.0030107570597352165,0.3482974523089513,0.0004230606335084004,0.717238384690745,4.0,375.0,0.6572185711615133,0.7172383846907445,4.0,375.0,0.15310072340877245,0.7172383846907445
237,3,-3.0,0.0002333333333333333,0.0030849091710041638,0.3550426664692201,0.0020577611190808667,0.5236379834079267,4.0,375.0,0.8786792812042579,0.5236379834079267,4.0,375.0,0.27637165381120776,0.5236379834079267,0.0030849091710041638,0.34810132655496356,0.00041901007282467656,0.7199456634839829,4.0,375.0,0.6555807249696555,0.7199456634839838,4.0,375.0,0.15150388127936398,0.7199456634839838
238,3,-3.0,0.0002666666666666666,0.003157951460463592,0.35475498164102526,0.0020476483236361327,0.5259790479689284,4.0,375.0,0.8765731231682936,0.5259790479689284,4.0,375.0,0.27475587008998936,0.5259790479689284,0.003157951460463592,0.34790851498070563,0.0004150669997757938,0.7225811006199454,4.0,375.0,0.653985367715412,0.722581100619945,4.0,375.0,0.14995229509165475,0.722581100619945
239,3,-3.0,0.0003,0.0032299593358550427,0.3544708893177195,0.0020375934320538253,0.5283067080583186,4.0,375.0,0.874478653993231,0.528306708058318,4.0,375.0,0.2731528991195481,0.528306708058318,0.0032299593358550427,0.34771878258265515,0.00041122581005966234,0.7251484418533022,4.0,375.0,0.6524302862569353,0.7251484418533022,4.0,375.0,0.14844351810739986,0.7251484418533022
240,3,-2.666666666666667,0.0,0.0033573847206954215,0.35385751673996485,0.0019780940503676056,0.5420805349536119,4.0,375.0,0.8620753565492157,0.5420805349536113,4.0,375.0,0.2637388133592732,0.5420805349536113,0.0033573847206954215,0.3474422236095027,0.00040488971649840023,0.7293833053885718,4.0,375.0,0.6498630612977945,0.7293833053885723,4.0,375.0,0.1459605949439029,0.7293833053885723
241,3,-2.666666666666667,3.333333333333333e-05,0.0034197179363197727,0.3536106082043148,0.001969086321442017,0.5441657818153286,4.0,375.0,0.8601959347434935,0.5441657818153275,4.0,375.0,0.262324067211538,0.5441657818153275,0.0034197179363197727,0.34727904517072283,0.00040148816911359864,0.7316568022748869,4.0,375.0,0.6484837344605834,0.7316568022748856,4.0,375.0,0.14463060478242162,0.7316568022748856
242,3,-2.666666666666667,6.666666666666666e-05,0.003481139440789594,0.3533669773783837,0.0019600979468858146,0.5462465482316161,4.0,375.0,0.8583200468477801,0.5462465482316164,4.0,375.0,0.2609150602051098,0.5462465482316164,0.003481139440789594,0.34711854813226417,0.0003981486941317654,0.7338888117442981,4.0,375.0,0.647128807714774,0.7338888117442984,4.0,375.0,0.1433268932992594,0.7338888117442984
243,3,-2.666666666666667,9.999999999999999e-05,0.0035417070098420975,0.3531264213521838,0.0019511439539234938,0.5483193554707012,4.0,375.0,0.856450809862069,0.5483193554707017,4.0,375.0,0.2595141085269067,0.5483193554707017,0.0035417070098420975,0.34696055187824737,0.00039487165435479315,0.7360790913102478,4.0,375.0,0.6457984570751124,0.7360790913102478,4.0,375.0,0.14204948201528078,0.7360790913102478
244,3,-2.666666666666667,0.0001333333333333333,0.0036014714887762146,0.352888761641295,0.0019422357251730998,0.5503815685100806,4.0,375.0,0.8545905836283496,0.5503815685100809,4.0,375.0,0.25812294245604217,0.5503815685100809,0.0036014714887762146,0.34680490054179386,0.00039165678530451005,0.7382278177424324,4.0,375.0,0.644492604731116,0.7382278177424318,4.0,375.0,0.14079815075709268,0.7382278177424318
245,3,-2.666666666666667,0.00016666666666666663,0.0036604779770659387,0.35265383947987716,0.0019333818376495253,0.5524312018111619,4.0,375.0,0.8527411452847886,0.5524312018111612,4.0,375.0,0.2567428427447461,0.5524312018111612,0.0036604779770659387,0.3466514568982771,0.0003885033751559834,0.740335466804269,4.0,375.0,0.643210991409409,0.7403354668042693,4.0,375.0,0.13957250926979936,0.7403354668042693
246,3,-2.666666666666667,0.00019999999999999998,0.003718766733852283,0.352421512474288,0.0019245886974004166,0.5544667724040397,4.0,375.0,0.8509038212052034,0.5544667724040391,4.0,375.0,0.2553747436434627,0.5544667724040391,0.003718766733852283,0.34650009849031554,0.0003854103974569757,0.7424027245470285,4.0,375.0,0.6419532297845243,0.7424027245470283,4.0,375.0,0.1383720498109242,0.7424027245470283
247,3,-2.666666666666667,0.0002333333333333333,0.003776373848490546,0.3521916538614732,0.001915861023520058,0.556487187840599,4.0,375.0,0.8490795876084763,0.5564871878405987,4.0,375.0,0.2540193113487462,0.5564871878405987,0.003776373848490546,0.3463507164476173,0.0003823766094069596,0.7444304216229938,4.0,375.0,0.6407188440620244,0.7444304216229936,4.0,375.0,0.13719618590145677,0.7444304216229936
248,3,-2.666666666666667,0.0002666666666666666,0.003833331879117062,0.35196414868517345,0.0019072022200081723,0.558491660110919,4.0,375.0,0.8472691478423099,0.5584916601109181,4.0,375.0,0.2526770041602371,0.5584916601109181,0.003833331879117062,0.3462032135115784,0.00037940062480832336,0.746419484526994,4.0,375.0,0.6395072993894305,0.7464194845269927,4.0,375.0,0.13604428092234222,0.7464194845269927
249,3,-2.666666666666667,0.0003,0.003889670299694217,0.3517388933781796,0.0018986146633366606,0.5604796390729435,4.0,375.0,0.8454729921384366,0.5604796390729426,4.0,375.0,0.2513481189010859,0.5604796390729426,0.003889670299694217,0.3460575014721702,0.0003764809682586782,0.7483708993757044,4.0,375.0,0.6383180237303254,0.7483708993757028,4.0,375.0,0.13491566921154863,0.7483708993757028
