,ID,k,rAction,cAction,One_minus_corr_Action,R2_1-corr_Action,rExternal,cExternal,One_minus_corr_External,R2_1-corr_External
160,14,7,-10.0,0.0,1.0356629583977157,0.0012718466016771956,-0.1,0.0021,0.9914212314724267,7.359526944968243e-05
161,14,8,-10.0,0.0,1.0340104082442856,0.0011567078689429698,-0.1,0.0021,0.9902164193328402,9.571845067082238e-05
162,14,9,-10.0,0.0,1.0332571828183528,0.0011060402090133337,-0.1,0.0021,0.9889933521291564,0.00012114629735274588
163,14,10,-10.0,0.0,1.0334403798219773,0.0011182590026381143,-0.1,0.0021,0.9877527422072941,0.00014999532344099454
164,14,11,-10.0,0.0,1.0345544355464749,0.0011940090159354936,-0.1,0.0021,0.9864933353960881,0.00018242998872256791
165,14,12,-10.0,0.0,1.036543423764837,0.0013354218204564485,-0.1,6.540998288423966e-10,0.9852154143312305,0.00021858397339718594
166,14,13,-10.0,0.0,1.039296648677705,0.001544226597298978,-0.1,7.05778344494909e-10,0.9839099172159151,0.0002588907639987036
167,14,14,-10.0,0.0,1.0426532622944475,0.0018193007843589437,-0.1,7.023967737072019e-10,0.9825759978268204,0.0003035958517309701
168,15,1,-6.870868893422831,3.142652857773816e-05,1.0833449977156193,0.0069463886442166075,-10.0,0.0,1.0475477816456082,0.0022607915394184377
169,15,2,-9.416847325665598,5.6944140851237805e-06,1.0871345747069387,0.0075924341093591,-10.0,0.0,1.0816955174431584,0.006674157570305388
170,15,3,-9.358208772106748,7.041538575394337e-06,1.0829053362741659,0.0068732947827325344,-10.0,0.0,1.104104382988962,0.010837722557512485
171,15,4,-10.0,6.163045433565371e-06,1.073364461619309,0.005382344228691055,-7.956277883974035,0.0,1.1187773692893097,0.014108063455289073
172,15,5,-5.663849528074351,0.0002952139632674848,1.074800536732306,0.005595120295441033,-6.761912420506873,0.0,1.1278929923631325,0.016356617495596276
173,15,6,-9.665036926750842,1.0141678946688196e-05,1.0483316106290426,0.0023359445859973903,-6.334548867508549,0.0,1.1333295177320548,0.01777676029866232
174,15,7,-10.0,9.83889440445092e-06,1.0341407868232964,0.0011655933249137603,-6.302372635321313,0.0,1.136272305954361,0.018570141370118948
175,15,8,-10.0,1.00099401913162e-05,1.020616374726331,0.0004250349068565037,-6.46990333984832,0.0,1.13742228160906,0.01888488348263979
176,15,9,-9.589271979658164,1.3698797689808318e-05,1.0087131562580756,7.591909197764209e-05,-6.758537497914573,0.0,1.1372231354619577,0.018830188906010775
