,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a RMSE Action,b RMSE Action,RMSE_Action,R2_RMSE_Action,a 1-corr Action,b 1-corr Action,One_minus_corr_Action,R2_1-corr_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External,a RMSE External,b RMSE External,RMSE_External,R2_RMSE_External,a 1-corr External,b 1-corr External,One_minus_corr_External,R2_1-corr_External
240,3,-2.666666666666667,0.0,0.007828532049909158,0.32532599674126966,1.908432427002523e-05,0.9771033471375761,4.0,375.0,0.4758860752477372,0.9771033471375767,4.0,375.0,0.011514619664217518,0.9771033471375767,0.007828532049909158,0.3350396026770139,3.9389467005818306e-05,0.8582051270950449,4.0,375.0,0.6456108049181004,0.8582051270950452,4.0,375.0,0.07360638652080231,0.8582051270950452
241,3,-2.666666666666667,3.333333333333333e-05,0.007922017823889889,0.3250789148613235,1.8700107608226705e-05,0.9775643158067872,4.0,375.0,0.4753459889689306,0.9775643158067872,4.0,375.0,0.0112814779691911,0.9775643158067872,0.007922017823889889,0.3348952607326208,3.908981308718056e-05,0.8592838263698146,4.0,375.0,0.6450371275538628,0.8592838263698146,4.0,375.0,0.07302436581654725,0.8592838263698146
242,3,-2.666666666666667,6.666666666666666e-05,0.008012117152470624,0.3248430709482362,1.8341623842803295e-05,0.9779944111162467,4.0,375.0,0.4748416359960152,0.9779944111162472,4.0,375.0,0.011064000495357051,0.9779944111162472,0.008012117152470624,0.33475752634582806,3.880837999841572e-05,0.8602969339889109,4.0,375.0,0.6444981965846796,0.8602969339889099,4.0,375.0,0.0724780681898084,0.8602969339889099
243,3,-2.666666666666667,9.999999999999999e-05,0.008099095046977601,0.32461735237923517,1.8007370539382674e-05,0.9783954356302168,4.0,375.0,0.4743709899716345,0.9783954356302168,4.0,375.0,0.010861265731537229,0.9783954356302168,0.008099095046977601,0.334625781354888,3.8544315515273714e-05,0.861247517806268,4.0,375.0,0.6439924043819439,0.861247517806268,4.0,375.0,0.07196577767505363,0.861247517806268
244,3,-2.666666666666667,0.0001333333333333333,0.008183183160809217,0.3244008103728074,1.7695868333438328e-05,0.9787691642355496,4.0,375.0,0.4739320448735989,0.9787691642355498,4.0,375.0,0.010672367597290844,0.9787691642355498,0.008183183160809217,0.33449950477582263,3.8296748609006017e-05,0.8621387133640559,4.0,375.0,0.6435181045094918,0.8621387133640551,4.0,375.0,0.07148574950943531,0.8621387133640551
245,3,-2.666666666666667,0.00016666666666666663,0.008264582550812088,0.32419264219493504,1.740568734211331e-05,0.9791173124512685,4.0,375.0,0.47352285342016154,0.9791173124512683,4.0,375.0,0.01049643130948319,0.9791173124512683,0.008264582550812088,0.3343782452967276,3.8064812316288494e-05,0.8629736415709497,4.0,375.0,0.6430736556871058,0.8629736415709489,4.0,375.0,0.07103625389849111,0.8629736415709489
246,3,-2.666666666666667,0.00019999999999999998,0.0083434690946077,0.32399216263699815,1.7135462824028415e-05,0.9794415176407096,4.0,375.0,0.4731415503664192,0.9794415176407096,4.0,375.0,0.010332622725842677,0.9794415176407096,0.0083434690946077,0.33426159260198873,3.784765875417456e-05,0.8637553546596962,4.0,375.0,0.6426574507525908,0.8637553546596967,4.0,375.0,0.07061560446729209,0.8637553546596967
247,3,-2.666666666666667,0.0002333333333333333,0.00842000500605739,0.32379875197102753,1.6883903624505938e-05,0.97974332888583,4.0,375.0,0.47278636558695686,0.9797433288858294,4.0,375.0,0.010180153317873142,0.9797433288858294,0.00842000500605739,0.3341492277356735,3.764446868431204e-05,0.8644868017244538,4.0,375.0,0.6422679352234901,0.864486801724453,4.0,375.0,0.07022217614934856,0.864486801724453
248,3,-2.666666666666667,0.0002666666666666666,0.008494329531837718,0.3236118928158605,1.6649795788683355e-05,0.9800242026422592,4.0,375.0,0.47245563028452997,0.9800242026422599,4.0,375.0,0.010038282233974516,0.9800242026422599,0.008494329531837718,0.334040833857302,3.7454457327862054e-05,0.8651708078332794,4.0,375.0,0.6419036186365034,0.865170807833282,4.0,375.0,0.0698544157857427,0.865170807833282
249,3,-2.666666666666667,0.0003,0.008566570248382957,0.3234311200796693,1.6432003010586248e-05,0.980285502207535,4.0,375.0,0.472147778615705,0.9802855022075361,4.0,375.0,0.009906316449026176,0.9802855022075361,0.008566570248382957,0.3339361398780992,3.727687754914857e-05,0.8658100625391275,4.0,375.0,0.6415630808771726,0.8658100625391271,4.0,375.0,0.06951084770475335,0.8658100625391271
250,3,-2.3333333333333335,0.0,0.008984198477360442,0.3231376010983615,2.325997740102065e-05,0.9720935559154453,4.0,375.0,0.4817247964644018,0.972093555915446,4.0,375.0,0.014051950701536309,0.972093555915446,0.008984198477360442,0.3339697980109395,4.2528679608066095e-05,0.8469045362256029,4.0,375.0,0.6516119605407938,0.8469045362256048,4.0,375.0,0.07972583638048136,0.8469045362256048
251,3,-2.3333333333333335,3.333333333333333e-05,0.009033021376442645,0.32301392725823574,2.3082537857034105e-05,0.9723064411903617,4.0,375.0,0.48147782325811345,0.9723064411903606,4.0,375.0,0.013943996930011915,0.9723064411903606,0.009033021376442645,0.3338985012102268,4.239923229064807e-05,0.8473705228702005,4.0,375.0,0.6513648069553916,0.8473705228701998,4.0,375.0,0.079472693033933,0.8473705228701998
252,3,-2.3333333333333335,6.666666666666666e-05,0.009080725724759417,0.3228935939784722,2.2911626797900727e-05,0.9725114938347359,4.0,375.0,0.4812398426138671,0.9725114938347357,4.0,375.0,0.013840026245875325,0.9725114938347357,0.009080725724759417,0.33382913533525066,4.22742437037e-05,0.8478204589039048,4.0,375.0,0.6511261419080453,0.8478204589039052,4.0,375.0,0.07922833508849492,0.8478204589039052
